"","varname","label","val_labels"
"212","CBQ.P.InhibitoryControl.SS","CBQ; Parent rating; InhibitoryControl; sum score"," "
"213","CBQ.P.LowIntensityPleasure.i21","CBQ; Parent rating; LowIntensityPleasure; item 21 [Orig Label:  21 liker lyden av ord, som rim og regler]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"214","CBQ.P.LowIntensityPleasure.i33","CBQ; Parent rating; LowIntensityPleasure; item 33 [Orig Label:  33 liker forsiktige rytmiske aktiviteter]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"215","CBQ.P.LowIntensityPleasure.i9","CBQ; Parent rating; LowIntensityPleasure; item[Orig Label: likerbli sunget for]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"216","CBQ.P.LowIntensityPleasure.SS","CBQ; Parent rating; LowIntensityPleasure; sum score"," "
"217","CBQ.P.PerceptualSensitivity.i12","CBQ; Parent rating; PerceptualSensitivity; item 12 [Orig Label:  12 legger merke til når foreldrene har p]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"218","CBQ.P.PerceptualSensitivity.i24","CBQ; Parent rating; PerceptualSensitivity; item 24 [Orig Label:  24 legger fort merke til nye tingstua]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"219","CBQ.P.PerceptualSensitivity.i36","CBQ; Parent rating; PerceptualSensitivity; item 36 [Orig Label:  36 kommenterer hvis en av foreldrene har]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"220","CBQ.P.PerceptualSensitivity.SS","CBQ; Parent rating; PerceptualSensitivity; sum score"," "
"221","CBQ.P.Sadness.i17","CBQ; Parent rating; Sadness; item 17 [Orig Label:  17 ser ut tilvære lei seg når hun/han]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"222","CBQ.P.Sadness.i35","CBQ; Parent rating; Sadness; item 35 [Orig Label:  35 blir lei seg hvis venner eller slektn]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"223","CBQ.P.Sadness.i8","CBQ; Parent rating; Sadness; item[Orig Label: blir lei seg hvis familiens planer ikk]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"224","CBQ.P.Sadness.SS","CBQ; Parent rating; Sadness; sum score"," "
"225","CBQ.P.Shyness.i10","CBQ; Parent rating; Shyness; item 10 [Orig Label:  10 ser ut tilkunne slappe av med omtr]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"226","CBQ.P.Shyness.i22","CBQ; Parent rating; Shyness; item 22 [Orig Label:  22 er noen ganger sjenert, selv sammen m]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"227","CBQ.P.Shyness.i34","CBQ; Parent rating; Shyness; item 34 [Orig Label:  34 snur seg iblant sjenert vekk fra nye]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"228","CBQ.P.Shyness.SS","CBQ; Parent rating; Shyness; sum score"," "
"229","CBQ.P.Soothability.i14","CBQ; Parent rating; Soothability; item 14 [Orig Label:  14 Hvis hun/han er sint for noe, varer d]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"230","CBQ.P.Soothability.i23","CBQ; Parent rating; Soothability; item 23 [Orig Label:  23 er veldig vanskeligroe hvis hun/ha]","1 extremely untrue of your child; 2 quite untrue of your child; 3 slightly untrue of your child; 4 neither true nor false of your child; 5 slightly true of your child; 6 quite true of your child; 7 extremely true of your child"
"231","CBQ.P.Soothability.SS","CBQ; Parent rating; Soothability; sum score"," "
"232","CDI.L.P.i1","Child Development Inventory; Language; parent ratings; item 1;Forteller en kort historie som for eks","0 No; 1 Yes"
"233","CDI.L.P.i10","Child Development Inventory; Language; parent ratings; item 10; 12 Prater","0 No; 1 Yes"
"234","CDI.L.P.i11","Child Development Inventory; Language; parent ratings; item 11; 13 Bruker ordene ""meg"", ""min"" og ""jeg"" r","0 No; 1 Yes"
"235","CDI.L.P.i12","Child Development Inventory; Language; parent ratings; item 12; 14 Bruker flertallsending korrekt","0 No; 1 Yes"
"236","CDI.L.P.i13","Child Development Inventory; Language; parent ratings; item 13; 15 Snakker om ting som ""kunne skje"" elle","0 No; 1 Yes"
"237","CDI.L.P.i14","Child Development Inventory; Language; parent ratings; item 14; 16 Forteller hva som skjer av aktivitet","0 No; 1 Yes"
"238","CDI.L.P.i15","Child Development Inventory; Language; parent ratings; item 15; 17 Synger enkle sanger","0 No; 1 Yes"
"239","CDI.L.P.i16","Child Development Inventory; Language; parent ratings; item 16; 18 Bruker ordet ""ikke""setningene","0 No; 1 Yes"
"240","CDI.L.P.i17","Child Development Inventory; Language; parent ratings; item 17; 19 Uttrykker lett tanker og ideerfull","0 No; 1 Yes"
"241","CDI.L.P.i18","Child Development Inventory; Language; parent ratings; item 18; 20 Stiller spørsmål som begynner med ""Hv","0 No; 1 Yes"
"242","CDI.L.P.i19","Child Development Inventory; Language; parent ratings; item 19; 21 Snakkersetninger som er på minst f","0 No; 1 Yes"
"243","CDI.L.P.i2","Child Development Inventory; Language; parent ratings; item 2;Snakker om fortiden med riktig endinge","0 No; 1 Yes"
"244","CDI.L.P.i20","Child Development Inventory; Language; parent ratings; item 20; 22 Begrunner ting vedbruke ord som ""F","0 No; 1 Yes"
"245","CDI.L.P.i21","Child Development Inventory; Language; parent ratings; item 21; 23 Snakker helt klart og tydelig","0 No; 1 Yes"
"246","CDI.L.P.i22","Child Development Inventory; Language; parent ratings; item 22; 24 Bruker minst fem ulike ord som er nav","0 No; 1 Yes"
"247","CDI.L.P.i23","Child Development Inventory; Language; parent ratings; item 23; 25 Bruker minst ett av de følgende orden","0 No; 1 Yes"
"248","CDI.L.P.i24","Child Development Inventory; Language; parent ratings; item 24; 26 Stiller spørsmål som begynner med ""Hv","0 No; 1 Yes"
"249","CDI.L.P.i25","Child Development Inventory; Language; parent ratings; item 25; 27 Har et ordforråd på 20 ord eller mer","0 No; 1 Yes"
"250","CDI.L.P.i26","Child Development Inventory; Language; parent ratings; item 26; 28 Snakkerlange, komplekse setninger,","0 No; 1 Yes"
"251","CDI.L.P.i27","Child Development Inventory; Language; parent ratings; item 27; 29 Snakkerdetalj om ting som har skje","0 No; 1 Yes"
"252","CDI.L.P.i28","Child Development Inventory; Language; parent ratings; item 28; 30 Snakker om sine egne ting som ""Mitt""","0 No; 1 Yes"
"253","CDI.L.P.i29","Child Development Inventory; Language; parent ratings; item 29; 31 Bruker flertall pronomen som ""Vi"", ""D","0 No; 1 Yes"
"254","CDI.L.P.i3","Child Development Inventory; Language; parent ratings; item 3;Bruker ordet ""du""setningene","0 No; 1 Yes"
"255","CDI.L.P.i30","Child Development Inventory; Language; parent ratings; item 30; 32 Bruker 50 ulike ord eller fleredag","0 No; 1 Yes"
"256","CDI.L.P.i31","Child Development Inventory; Language; parent ratings; item 31; 33 Kan hviske (snakke lavt)","0 No; 1 Yes"
"257","CDI.L.P.i32","Child Development Inventory; Language; parent ratings; item 32; 34 Bruker navnet på figurer som Sirkel,","0 No; 1 Yes"
"258","CDI.L.P.i33","Child Development Inventory; Language; parent ratings; item 33; 35 Stiller enkle spørsmål og bruker da h","0 No; 1 Yes"
"259","CDI.L.P.i34","Child Development Inventory; Language; parent ratings; item 34; 36 Peker på ting","0 No; 1 Yes"
"260","CDI.L.P.i35","Child Development Inventory; Language; parent ratings; item 35; 37 Spør etter hva ord betyr","0 No; 1 Yes"
"261","CDI.L.P.i36","Child Development Inventory; Language; parent ratings; item 36; 38 Bruker flertallending og legger til ""","0 No; 1 Yes"
"262","CDI.L.P.i37","Child Development Inventory; Language; parent ratings; item 37; 39 Gjengir et barnerim som f.eks ""Mikkel","0 No; 1 Yes"
"263","CDI.L.P.i38","Child Development Inventory; Language; parent ratings; item 38; 40 Spør etter ""Mer"" eller ""En til""","0 No; 1 Yes"
"264","CDI.L.P.i39","Child Development Inventory; Language; parent ratings; item 39; 41 Snakkersetninger med ordenerikt","0 No; 1 Yes"
"265","CDI.L.P.i4","Child Development Inventory; Language; parent ratings; item 4;Beskriver ting heltdetalj, for ekse","0 No; 1 Yes"
"266","CDI.L.P.i40","Child Development Inventory; Language; parent ratings; item 40; 42 Ber om noedrikke eller spise, ved","0 No; 1 Yes"
"267","CDI.L.P.i41","Child Development Inventory; Language; parent ratings; item 41; 43 Snakkerto eller treordssetninger.","0 No; 1 Yes"
"268","CDI.L.P.i42","Child Development Inventory; Language; parent ratings; item 42; 44 Kan si navnet på kjente tingen bil","0 No; 1 Yes"
"269","CDI.L.P.i43","Child Development Inventory; Language; parent ratings; item 43; 45 Sier ""Kan jeg få-"" eller ""Takk""","0 No; 1 Yes"
"270","CDI.L.P.i44","Child Development Inventory; Language; parent ratings; item 44; 46 Kan navnet på minst fem kroppsdeler,","0 No; 1 Yes"
"271","CDI.L.P.i45","Child Development Inventory; Language; parent ratings; item 45; 47 Binder sammen to setninger med ordene","0 No; 1 Yes"
"272","CDI.L.P.i46","Child Development Inventory; Language; parent ratings; item 46; 48 Har et stort ordforråd som er mer enn","0 No; 1 Yes"
"273","CDI.L.P.i47","Child Development Inventory; Language; parent ratings; item 47; 49 Sier (uttaler) de fleste ordene han/h","0 No; 1 Yes"
"274","CDI.L.P.i48","Child Development Inventory; Language; parent ratings; item 48; 50 Sier navnet på ukedageneriktig rek","0 No; 1 Yes"
"275","CDI.L.P.i49","Child Development Inventory; Language; parent ratings; item 49; Har barnet uttalevansker?","0 No; 1 Yes"
"276","CDI.L.P.i5","Child Development Inventory; Language; parent ratings; item 5;Bruker ordene -Kan ikke-, -Gjør ikke-,","0 No; 1 Yes"
"277","CDI.L.P.i50","Child Development Inventory; Language; parent ratings; item 50; Kan fremmede forstå hva han/hun sier?","0 No; 1 Yes"
"278","CDI.L.P.i6","Child Development Inventory; Language; parent ratings; item 6;Sier to eller flere ord ved siden av å","0 No; 1 Yes"
"279","CDI.L.P.i7","Child Development Inventory; Language; parent ratings; item 7;Bruker ordene ""en"", ""et"", ""den"", for e","0 No; 1 Yes"
"280","CDI.L.P.i8","Child Development Inventory; Language; parent ratings; item 8; 10 Bruker minst 10 ord","0 No; 1 Yes"
"281","CDI.L.P.i9","Child Development Inventory; Language; parent ratings; item 9; 11 Kommer med ytringer som ""Hvis jeg gjø","0 No; 1 Yes"
"282","CDI.L.P.ipronounciation","Child Development Inventory; Language; parent ratings; ipronounciation","0 No; 1 Yes"
"283","CDI.L.P.iunderstood","Child Development Inventory; Language; parent ratings; iunderstood","0 No; 1 Yes"
"284","CDI.L.P.SS","Child Development Inventory; Language; parent ratings; sum of scores"," "
"285","CDI.L.T.i1","CDI; Language; teacher ratings; item 1;Forteller en kort historie som for eks","0 No; 1 Yes"
"286","CDI.L.T.i10","CDI; Language; teacher ratings; item 10; 12 Prater","0 No; 1 Yes"
"287","CDI.L.T.i11","CDI; Language; teacher ratings; item 11; 13 Bruker ordene ""meg"", ""min"" og ""jeg"" r","0 No; 1 Yes"
"288","CDI.L.T.i12","CDI; Language; teacher ratings; item 12; 14 Bruker flertallsending korrekt","0 No; 1 Yes"
"289","CDI.L.T.i13","CDI; Language; teacher ratings; item 13; 15 Snakker om ting som ""kunne skje"" elle","0 No; 1 Yes"
"290","CDI.L.T.i14","CDI; Language; teacher ratings; item 14; 16 Forteller hva som skjer av aktivitet","0 No; 1 Yes"
"291","CDI.L.T.i15","CDI; Language; teacher ratings; item 15; 17 Synger enkle sanger","0 No; 1 Yes"
"292","CDI.L.T.i16","CDI; Language; teacher ratings; item 16; 18 Bruker ordet ""ikke""setningene","0 No; 1 Yes"
"293","CDI.L.T.i17","CDI; Language; teacher ratings; item 17; 19 Uttrykker lett tanker og ideerfull","0 No; 1 Yes"
"294","CDI.L.T.i18","CDI; Language; teacher ratings; item 18; 20 Stiller spørsmål som begynner med ""Hv","0 No; 1 Yes"
"295","CDI.L.T.i19","CDI; Language; teacher ratings; item 19; 21 Snakkersetninger som er på minst f","0 No; 1 Yes"
"296","CDI.L.T.i2","CDI; Language; teacher ratings; item 2;Snakker om fortiden med riktig endinge","0 No; 1 Yes"
"297","CDI.L.T.i20","CDI; Language; teacher ratings; item 20; 22 Begrunner ting vedbruke ord som ""F","0 No; 1 Yes"
"298","CDI.L.T.i21","CDI; Language; teacher ratings; item 21; 23 Snakker helt klart og tydelig","0 No; 1 Yes"
"299","CDI.L.T.i22","CDI; Language; teacher ratings; item 22; 24 Bruker minst fem ulike ord som er nav","0 No; 1 Yes"
"300","CDI.L.T.i23","CDI; Language; teacher ratings; item 23; 25 Bruker minst ett av de følgende orden","0 No; 1 Yes"
"301","CDI.L.T.i24","CDI; Language; teacher ratings; item 24; 26 Stiller spørsmål som begynner med ""Hv","0 No; 1 Yes"
"302","CDI.L.T.i25","CDI; Language; teacher ratings; item 25; 27 Har et ordforråd på 20 ord eller mer","0 No; 1 Yes"
"303","CDI.L.T.i26","CDI; Language; teacher ratings; item 26; 28 Snakkerlange, komplekse setninger,","0 No; 1 Yes"
"304","CDI.L.T.i27","CDI; Language; teacher ratings; item 27; 29 Snakkerdetalj om ting som har skje","0 No; 1 Yes"
"305","CDI.L.T.i28","CDI; Language; teacher ratings; item 28; 30 Snakker om sine egne ting som ""Mitt""","0 No; 1 Yes"
"306","CDI.L.T.i29","CDI; Language; teacher ratings; item 29; 31 Bruker flertall pronomen som ""Vi"", ""D","0 No; 1 Yes"
"307","CDI.L.T.i3","CDI; Language; teacher ratings; item 3;Bruker ordet ""du""setningene","0 No; 1 Yes"
"308","CDI.L.T.i30","CDI; Language; teacher ratings; item 30; 32 Bruker 50 ulike ord eller fleredag","0 No; 1 Yes"
"309","CDI.L.T.i31","CDI; Language; teacher ratings; item 31; 33 Kan hviske (snakke lavt)","0 No; 1 Yes"
"310","CDI.L.T.i32","CDI; Language; teacher ratings; item 32; 34 Bruker navnet på figurer som Sirkel,","0 No; 1 Yes"
"311","CDI.L.T.i33","CDI; Language; teacher ratings; item 33; 35 Stiller enkle spørsmål og bruker da h","0 No; 1 Yes"
"312","CDI.L.T.i34","CDI; Language; teacher ratings; item 34; 36 Peker på ting","0 No; 1 Yes"
"313","CDI.L.T.i35","CDI; Language; teacher ratings; item 35; 37 Spør etter hva ord betyr","0 No; 1 Yes"
"314","CDI.L.T.i36","CDI; Language; teacher ratings; item 36; 38 Bruker flertallending og legger til ""","0 No; 1 Yes"
"315","CDI.L.T.i37","CDI; Language; teacher ratings; item 37; 39 Gjengir et barnerim som f.eks ""Mikkel","0 No; 1 Yes"
"316","CDI.L.T.i38","CDI; Language; teacher ratings; item 38; 40 Spør etter ""Mer"" eller ""En til""","0 No; 1 Yes"
"317","CDI.L.T.i39","CDI; Language; teacher ratings; item 39; 41 Snakkersetninger med ordenerikt","0 No; 1 Yes"
"318","CDI.L.T.i4","CDI; Language; teacher ratings; item 4;Beskriver ting heltdetalj, for ekse","0 No; 1 Yes"
"319","CDI.L.T.i40","CDI; Language; teacher ratings; item 40; 42 Ber om noedrikke eller spise, ved","0 No; 1 Yes"
"320","CDI.L.T.i41","CDI; Language; teacher ratings; item 41; 43 Snakkerto eller treordssetninger.","0 No; 1 Yes"
"321","CDI.L.T.i42","CDI; Language; teacher ratings; item 42; 44 Kan si navnet på kjente tingen bil","0 No; 1 Yes"
"322","CDI.L.T.i43","CDI; Language; teacher ratings; item 43; 45 Sier ""Kan jeg få¿"" eller ""Takk""","0 No; 1 Yes"
"323","CDI.L.T.i44","CDI; Language; teacher ratings; item 44; 46 Kan navnet på minst fem kroppsdeler,","0 No; 1 Yes"
"324","CDI.L.T.i45","CDI; Language; teacher ratings; item 45; 47 Binder sammen to setninger med ordene","0 No; 1 Yes"
"325","CDI.L.T.i46","CDI; Language; teacher ratings; item 46; 48 Har et stort ordforråd som er mer enn","0 No; 1 Yes"
"326","CDI.L.T.i47","CDI; Language; teacher ratings; item 47; 49 Sier (uttaler) de fleste ordene han/h","0 No; 1 Yes"
"327","CDI.L.T.i48","CDI; Language; teacher ratings; item 48; 50 Sier navnet på ukedageneriktig rek","0 No; 1 Yes"
"328","CDI.L.T.i49","CDI; Language; teacher ratings; item 49; Har barnet uttalevansker?","0 No; 1 Yes"
"329","CDI.L.T.i5","CDI; Language; teacher ratings; item 5;Bruker ordene ¿Kan ikke¿, ¿Gjør ikke¿,","0 No; 1 Yes"
"330","CDI.L.T.i50","CDI; Language; teacher ratings; item 50; Kan fremmede forstå hva han/hun sier?","0 No; 1 Yes"
"331","CDI.L.T.i6","CDI; Language; teacher ratings; item 6;Sier to eller flere ord ved siden av å","0 No; 1 Yes"
"332","CDI.L.T.i7","CDI; Language; teacher ratings; item 7;Bruker ordene ""en"", ""et"", ""den"", for e","0 No; 1 Yes"
"333","CDI.L.T.i8","CDI; Language; teacher ratings; item 8; 10 Bruker minst 10 ord","0 No; 1 Yes"
"334","CDI.L.T.i9","CDI; Language; teacher ratings; item 9; 11 Kommer med ytringer som ""Hvis jeg gjø","0 No; 1 Yes"
"335","CDI.L.T.ipronounciation","CDI; Language; teacher ratings; ipronounciation","0 No; 1 Yes"
"336","CDI.L.T.iunderstood","CDI; Language; teacher ratings; iunderstood","0 No; 1 Yes"
"337","CDI.L.T.SS","CDI; Language; teacher ratings; sum of scores"," "
"338","CDIAG.allergies","Child diagnosed for; allergies [Orig Label:  Allergi (pollen, dyrehår, matvarer etc.)]","0 No; 1 Yes"
"339","CDIAG.asthma_lung","Child diagnosed for; asthma_lung","0 No; 1 Yes"
"340","CDIAG.blood","Child diagnosed for; blood [Orig Label:  Blodsykdommer]","0 No; 1 Yes"
"341","CDIAG.cancer","Child diagnosed for; cancer [Orig Label:  Kreft]","0 No; 1 Yes"
"342","CDIAG.cardiovascular","Child diagnosed for; cardiovascular [Orig Label:  Hjerte- og karsykdommer]","0 No; 1 Yes"
"343","CDIAG.Congenital_deformity","Child diagnosed for; Congenital_deformity [Orig Label:  Medfødt misdannelse]","0 No; 1 Yes"
"344","CDIAG.diabetes","Child diagnosed for; diabetes [Orig Label:  Sukkersyke (diabetes)]","0 No; 1 Yes"
"345","CDIAG.eyesight","Child diagnosed for; eyesight [Orig Label:  Synsvansker]","0 No; 1 Yes"
"346","CDIAG.foodallergies","Child diagnosed for; foodallergies [Orig Label:  Matvareallergi (gluten, melk, etc)]","0 No; 1 Yes"
"347","CDIAG.gastrointestinal","Child diagnosed for; gastrointestinal [Orig Label:  Mage- og tarmproblemer]","0 No; 1 Yes"
"348","CDIAG.genetic_disease","Child diagnosed for; genetic_disease","0 No; 1 Yes"
"349","CDIAG.genital_urinary","Child diagnosed for; genital_urinary","0 No; 1 Yes"
"350","CDIAG.hearing","Child diagnosed for; hearing [Orig Label:  Hørselvansker]","0 No; 1 Yes"
"351","CDIAG.joints","Child diagnosed for; joints [Orig Label:  Leddproblemer]","0 No; 1 Yes"
"352","CDIAG.metabolism","Child diagnosed for; metabolism [Orig Label:  Stoffskifteproblemer]","0 No; 1 Yes"
"353","CDIAG.muscle_skeleton","Child diagnosed for; muscle_skeleton [Orig Label:  Muskel- og skjelettsykdommer]","0 No; 1 Yes"
"354","CDIAG.nervoussystem","Child diagnosed for; nervoussystem [Orig Label:  Sykdommernervesystemet]","0 No; 1 Yes"
"355","CDIAG.nose_mouth_throat","Child diagnosed for; nose_mouth_throat","0 No; 1 Yes"
"356","CDIAG.other","Child diagnosed for; other [Orig Label:  Andre sykdommer]","0 No; 1 Yes"
"357","CDIAG.recurrent_fever","Child diagnosed for; recurrent_fever [Orig Label:  Stadig feber]","0 No; 1 Yes"
"358","CDIAG.seriousinfection","Child diagnosed for; seriousinfection [Orig Label:  Alvorlige infeksjoner]","0 No; 1 Yes"
"359","CDIAG.skincondition","Child diagnosed for; skincondition [Orig Label:  Hudsykdom]","0 No; 1 Yes"
"360","CDT.S","Score cookie delay task"," "
"361","CS.P.ADHDI.i1","CTRS_Rs; Parent ratings; D: ADHD index; item[Orig Label: Uoppmerksom, distraheres lett]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"362","CS.P.ADHDI.i10","CTRS_Rs; Parent ratings; D: ADHD index; item 10 [Orig Label:  10 Rotete eller uorganisert hjemme eller]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"363","CS.P.ADHDI.i13","CTRS_Rs; Parent ratings; D: ADHD index; item 13 [Orig Label:  13 Deltar baredet han/hun er veldig i]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"364","CS.P.ADHDI.i15","CTRS_Rs; Parent ratings; D: ADHD index; item 15 [Orig Label:  15 Problemer med konsentrasjonen eller o]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"365","CS.P.ADHDI.i19","CTRS_Rs; Parent ratings; D: ADHD index; item 19 [Orig Label:  19 Blir distrahert når han/hun blir bedt]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"366","CS.P.ADHDI.i23","CTRS_Rs; Parent ratings; D: ADHD index; item 23 [Orig Label:  23 Forlater plassen sinbarnehagen ell]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"367","CS.P.ADHDI.i27","CTRS_Rs; Parent ratings; D: ADHD index; item 27 [Orig Label:  27 Blir lett frustrert ved anstrengelser]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"368","CS.P.ADHDI.i5","CTRS_Rs; Parent ratings; D: ADHD index; item[Orig Label: Klarer ikkeholde på oppmerksomhet]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"369","CS.P.ADHDI.i7","CTRS_Rs; Parent ratings; D: ADHD index; item[Orig Label: Fikler med hender og føtter, vrir seg]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"370","CS.P.ADHDI.SC","CTRS_Rs; Parent ratings; D: ADHD index; count of non-zero scores"," "
"371","CS.P.ADHDI.SS","CTRS_Rs; Parent ratings; D: ADHD index; sum of scores"," "
"372","CS.P.COG.i12","CTRS_Rs; Parent ratings; B: Cognitive problems/Inattention; item 12 [Orig Label:  12 Trenger tett oppfølging forfullfør]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"373","CS.P.COG.i3","CTRS_Rs; Parent ratings; B: Cognitive problems/Inattention; item[Orig Label: Vanskelig forgjøre ellerfullføre]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"374","CS.P.COG.i8","CTRS_Rs; Parent ratings; B: Cognitive problems/Inattention; item[Orig Label: Mislykkeså fullføre påbegynt aktivi]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"375","CS.P.COG.SC","CTRS_Rs; Parent ratings; B: Cognitive problems/Inattention; count of non-zero scores"," "
"376","CS.P.COG.SS","CTRS_Rs; Parent ratings; B: Cognitive problems/Inattention; sum of scores"," "
"377","CS.P.COGADHDI.i17","CTRS_Rs; Parent ratings; Cognitive problems/InattentionADHD index; item 17 [Orig Label:  17 Unngår, uttrykker motvilje mot, eller]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"378","CS.P.COGADHDI.i21","CTRS_Rs; Parent ratings; Cognitive problems/InattentionADHD index; item 21 [Orig Label:  21 Konsentrasjonsproblemerbarnehagen]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"379","CS.P.COGADHDI.i25","CTRS_Rs; Parent ratings; Cognitive problems/InattentionADHD index; item 25 [Orig Label:  25 Følger ikke ordentlig med når ting fo]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"380","CS.P.HYP.i14","CTRS_Rs; Parent ratings; C: Hyperactivity; item 14 [Orig Label:  14 Løper omkring eller klatrer overdrev]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"381","CS.P.HYP.i18","CTRS_Rs; Parent ratings; C: Hyperactivity; item 18 [Orig Label:  18 Rastløs, vrir og vrenger på seg]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"382","CS.P.HYP.i22","CTRS_Rs; Parent ratings; C: Hyperactivity; item 22 [Orig Label:  22 Problemer medståkø ellervent]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"383","CS.P.HYP.i26","CTRS_Rs; Parent ratings; C: Hyperactivity; item 26 [Orig Label:  26 Har problemer medleke eller delta]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"384","CS.P.HYP.i4","CTRS_Rs; Parent ratings; C: Hyperactivity; item[Orig Label: Er bestandig på farten eller oppfører]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"385","CS.P.HYP.i9","CTRS_Rs; Parent ratings; C: Hyperactivity; item[Orig Label: Vanskeligkontrollerekjøpesentra]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"386","CS.P.HYP.SC","CTRS_Rs; Parent ratings; C: Hyperactivity; count of non-zero scores"," "
"387","CS.P.HYP.SS","CTRS_Rs; Parent ratings; C: Hyperactivity; sum of scores"," "
"388","CS.P.OPP.i11","CTRS_Rs; Parent ratings; A: Oppositional; item 11 [Orig Label:  11 Mister fatningen, blir rasende]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"389","CS.P.OPP.i16","CTRS_Rs; Parent ratings; A: Oppositional; item 16 [Orig Label:  16 Irritabel]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"390","CS.P.OPP.i2","CTRS_Rs; Parent ratings; A: Oppositional; item[Orig Label: Sint og oppbrakt]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
"391","CS.P.OPP.i20","CTRS_Rs; Parent ratings; A: Oppositional; item 20 [Orig Label:  20 Trasser aktivt eller nekteretterko]","0 ikke sjelden aldri; 1 litt av og til; 2 ganske bra ofte; 3 veldig bra svært ofte"
